ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209835_x_at	0.0000325	1.46e-09	-6.25193	11.1545	-0.7010262	CD44	CD44 molecule (Indian blood group)
212014_x_at	0.0000979	8.79e-09	-5.9275111	9.52682	-0.72646778	CD44	CD44 molecule (Indian blood group)
204490_s_at	0.000461	6.21e-08	-5.5585645	7.75719	-0.49282517	CD44	CD44 molecule (Indian blood group)
209380_s_at	0.0006984	1.25e-07	5.4213416	7.12193	0.53731204	ABCC5	ATP binding cassette subfamily C member 5
209831_x_at	0.0013384	3.30e-07	-5.2282878	6.24984	-0.26667796	DNASE2	deoxyribonuclease 2, lysosomal
204489_s_at	0.0013384	4.14e-07	-5.1817896	6.04363	-0.56195882	CD44	CD44 molecule (Indian blood group)
203218_at	0.0013384	4.20e-07	5.1787806	6.03034	0.46912087	MAPK9	mitogen-activated protein kinase 9
205322_s_at	0.001722	6.18e-07	-5.0996642	5.68311	-0.48664644	MTF1	metal regulatory transcription factor 1
210916_s_at	0.0020453	8.26e-07	-5.0395525	5.42223	-0.55015138	CD44	CD44 molecule (Indian blood group)
211868_x_at	0.0048075	2.16e-06	-4.8363748	4.5595	-0.96972347	IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
203429_s_at	0.0054444	3.08e-06	4.7596738	4.24155	0.42209648	SUCO	SUN domain containing ossification factor
202324_s_at	0.0054444	3.11e-06	4.7569729	4.23043	0.31974172	ACBD3	acyl-CoA binding domain containing 3
202630_at	0.0054444	3.18e-06	4.7526191	4.21252	0.46033198	APPBP2	amyloid beta precursor protein binding protein 2
214777_at	0.0057712	3.63e-06	-4.7236809	4.09382	-1.62101878	IGKC	immunoglobulin kappa constant
218478_s_at	0.0059503	4.10e-06	4.6967797	3.98403	0.28755875	ZCCHC8	zinc finger CCHC-type containing 8
218085_at	0.0059503	4.27e-06	4.6876227	3.94678	0.37278443	CHMP5	charged multivesicular body protein 5
218988_at	0.0060668	4.95e-06	4.6552642	3.81564	0.57736853	SLC35E3	solute carrier family 35 member E3
202543_s_at	0.0060668	5.09e-06	4.6490361	3.79049	0.41037692	GMFB	glia maturation factor beta
212900_at	0.0060668	5.17e-06	4.6453258	3.77552	0.31264028	SEC24A	SEC24 homolog A, COPII coat complex component
216365_x_at	0.0070749	6.35e-06	-4.5996416	3.59203	-1.34073378	IGLJ3///CKAP2	immunoglobulin lambda joining 3///cytoskeleton associated protein 2
217157_x_at	0.0073483	7.43e-06	-4.5644189	3.45161	-1.02287955	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
216984_x_at	0.0073483	7.46e-06	-4.5634404	3.44772	-1.48201364	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
207996_s_at	0.0073483	7.58e-06	4.5597587	3.4331	0.59719158	LDLRAD4	low density lipoprotein receptor class A domain containing 4
207551_s_at	0.0087784	9.50e-06	-4.5087872	3.23171	-0.28862879	MSL3	male-specific lethal 3 homolog (Drosophila)
217378_x_at	0.0087784	9.85e-06	-4.5006225	3.19964	-1.74095741	IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional)
217258_x_at	0.009013	1.05e-05	-4.4856775	3.14105	-1.21720446	IGLV1-44	immunoglobulin lambda variable 1-44
217148_x_at	0.0092357	1.14e-05	-4.4681831	3.07268	-1.23692647	IGLJ3///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
211302_s_at	0.0092357	1.20e-05	-4.4547482	3.02033	-0.57839791	PDE4B	phosphodiesterase 4B
206833_s_at	0.0092357	1.22e-05	-4.4509529	3.00557	-0.28647721	LOC101927144///ACYP2	uncharacterized LOC101927144///acylphosphatase 2
205926_at	0.0092357	1.30e-05	-4.4363793	2.94898	-0.42920784	IL27RA	interleukin 27 receptor subunit alpha
204999_s_at	0.0092357	1.37e-05	-4.4254495	2.90665	-0.37863174	ATF5	activating transcription factor 5
212149_at	0.0092357	1.40e-05	4.4193565	2.88309	0.36703543	EFR3A	EFR3 homolog A
212473_s_at	0.0092357	1.43e-05	4.4158332	2.86947	0.42450254	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
211798_x_at	0.0092357	1.45e-05	-4.4115125	2.8528	-1.12998932	IGLJ3	immunoglobulin lambda joining 3
221224_s_at	0.0092357	1.58e-05	-4.3923183	2.77887	-0.67694318	DCAKD	dephospho-CoA kinase domain containing
221434_s_at	0.0092357	1.58e-05	4.392274	2.7787	0.32613802	SLIRP	SRA stem-loop interacting RNA binding protein
209862_s_at	0.0092357	1.59e-05	-4.3900803	2.77027	-0.30772473	CEP57	centrosomal protein 57
202247_s_at	0.0092357	1.64e-05	-4.3829919	2.74305	-0.33764792	MTA1	metastasis associated 1
214669_x_at	0.0092357	1.65e-05	-4.3825782	2.74146	-1.1461239	IGKC	immunoglobulin kappa constant
218787_x_at	0.0092357	1.66e-05	-4.3808495	2.73483	-0.61570296	CWF19L1	CWF19-like 1, cell cycle control (S. pombe)
216207_x_at	0.0095796	1.83e-05	-4.357269	2.6446	-0.94944851	IGKC	immunoglobulin kappa constant
211644_x_at	0.0095796	1.86e-05	-4.3537386	2.63113	-1.51252031	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
215176_x_at	0.0095796	1.89e-05	-4.3505162	2.61884	-1.55461645	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
209681_at	0.0095796	1.93e-05	4.3456538	2.60031	0.5883997	SLC19A2	solute carrier family 19 member 2
212063_at	0.0095796	1.94e-05	-4.344095	2.59437	-0.45348595	CD44	CD44 molecule (Indian blood group)
217523_at	0.0095796	2.01e-05	-4.3364621	2.56533	-0.67655492	CD44	CD44 molecule (Indian blood group)
211919_s_at	0.0095796	2.03e-05	-4.3335056	2.5541	-0.43722183	CXCR4	C-X-C motif chemokine receptor 4
205457_at	0.0095796	2.06e-05	-4.3297306	2.53976	-0.39218487	C6orf106	chromosome 6 open reading frame 106
222077_s_at	0.0095955	2.13e-05	4.3226393	2.51286	0.42955117	RACGAP1	Rac GTPase activating protein 1
218461_at	0.0095955	2.15e-05	4.3197562	2.50193	0.33875691	GPN3	GPN-loop GTPase 3
201764_at	0.0100714	2.31e-05	4.3036981	2.44118	0.38019094	TMEM106C	transmembrane protein 106C
211637_x_at	0.0103595	2.42e-05	-4.2919749	2.39696	-1.31926398	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
51192_at	0.0103595	2.46e-05	4.2879564	2.38182	0.40674979	SSH3	slingshot protein phosphatase 3
217235_x_at	0.0106112	2.57e-05	-4.2778532	2.34383	-0.92783845	IGLL5	immunoglobulin lambda like polypeptide 5
214730_s_at	0.0110184	2.75e-05	-4.2622223	2.2852	-0.30042691	GLG1	golgi glycoprotein 1
211641_x_at	0.0110184	2.88e-05	-4.2507413	2.24225	-0.72941837	IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA2///IGHA1	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1
206150_at	0.0110184	2.89e-05	-4.2505265	2.24145	-0.67981957	CD27	CD27 molecule
207085_x_at	0.0110184	2.91e-05	-4.2483807	2.23343	-0.70836082	CSF2RA	colony stimulating factor 2 receptor alpha subunit
215121_x_at	0.0110184	2.92e-05	-4.2478717	2.23153	-1.27939494	CYAT1///IGLV1-44///IGLC1	immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1
221825_at	0.0112244	3.05e-05	4.2371128	2.1914	0.29970229	ANGEL2	angel homolog 2
202216_x_at	0.0112244	3.07e-05	-4.2355034	2.18541	-0.31093584	NFYC	nuclear transcription factor Y subunit gamma
208931_s_at	0.0112314	3.13e-05	-4.2314707	2.1704	-0.32599815	ILF3	interleukin enhancer binding factor 3
206644_at	0.011434	3.23e-05	-4.2233693	2.14027	-0.50507302	NR0B1	nuclear receptor subfamily 0 group B member 1
222230_s_at	0.0115056	3.30e-05	4.2181044	2.12072	0.2606839	ACTR10	actin-related protein 10 homolog
212474_at	0.0119505	3.56e-05	4.2004578	2.05536	0.2554125	AVL9	AVL9 cell migration associated
216576_x_at	0.0119505	3.59e-05	-4.1982566	2.04722	-1.35524743	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
203743_s_at	0.0119505	3.59e-05	4.1980033	2.04628	0.31564815	TDG	thymine DNA glycosylase
204540_at	0.0119822	3.71e-05	4.1904437	2.01837	1.06757553	EEF1A2	eukaryotic translation elongation factor 1 alpha 2
200014_s_at	0.0119822	3.71e-05	4.1902895	2.0178	0.19304331	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)
64486_at	0.0119834	3.79e-05	4.1849573	1.99813	0.29719896	CORO1B	coronin 1B
