"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
"214777_at",0.0057712,3.63e-06,-4.7236809,4.09382,-1.62101878,"IGKC","immunoglobulin kappa constant"
"216365_x_at",0.0070749,6.35e-06,-4.5996416,3.59203,-1.34073378,"IGLJ3///CKAP2","immunoglobulin lambda joining 3///cytoskeleton associated protein 2"
"217157_x_at",0.0073483,7.43e-06,-4.5644189,3.45161,-1.02287955,"IGK///IGKC","immunoglobulin kappa locus///immunoglobulin kappa constant"
"216984_x_at",0.0073483,7.46e-06,-4.5634404,3.44772,-1.48201364,"IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1","immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1"
"217378_x_at",0.0087784,9.85e-06,-4.5006225,3.19964,-1.74095741,"IGKV1OR2-108","immunoglobulin kappa variable 1/OR2-108 (non-functional)"
"217258_x_at",0.009013,1.05e-05,-4.4856775,3.14105,-1.21720446,"IGLV1-44","immunoglobulin lambda variable 1-44"
"217148_x_at",0.0092357,1.14e-05,-4.4681831,3.07268,-1.23692647,"IGLJ3///IGLV@///IGLC1","immunoglobulin lambda joining 3///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1"
"211798_x_at",0.0092357,1.45e-05,-4.4115125,2.8528,-1.12998932,"IGLJ3","immunoglobulin lambda joining 3"
"214669_x_at",0.0092357,1.65e-05,-4.3825782,2.74146,-1.1461239,"IGKC","immunoglobulin kappa constant"
"211644_x_at",0.0095796,1.86e-05,-4.3537386,2.63113,-1.51252031,"IGK///IGKC","immunoglobulin kappa locus///immunoglobulin kappa constant"
"215176_x_at",0.0095796,1.89e-05,-4.3505162,2.61884,-1.55461645,"IGK///IGKC","immunoglobulin kappa locus///immunoglobulin kappa constant"
"211637_x_at",0.0103595,2.42e-05,-4.2919749,2.39696,-1.31926398,"IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH","immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus"
"215121_x_at",0.0110184,2.92e-05,-4.2478717,2.23153,-1.27939494,"CYAT1///IGLV1-44///IGLC1","immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1"
"216576_x_at",0.0119505,3.59e-05,-4.1982566,2.04722,-1.35524743,"IGK///IGKC","immunoglobulin kappa locus///immunoglobulin kappa constant"
"204540_at",0.0119822,3.71e-05,4.1904437,2.01837,1.06757553,"EEF1A2","eukaryotic translation elongation factor 1 alpha 2"
"216401_x_at",0.0119834,3.86e-05,-4.1807487,1.98263,-1.47581224,"MLIP","muscular LMNA-interacting protein"
"207430_s_at",0.0123682,4.37e-05,4.1509625,1.87329,1.33989762,"MSMB","microseminoprotein beta"
"213201_s_at",0.0126701,4.66e-05,4.1349888,1.81494,1.27114178,"TNNT1","troponin T1, slow skeletal type"
